Lakers vs Warriors
298. 	Jan 6, 1990	 	 	131 - 133 		
297. 	Dec 29, 1989	 	130 - 111 
296. 	Nov 9, 1989	 	 	106 - 95 
295. 	Apr 8, 1989	 	 	116 - 122 		
294. 	Mar 12, 1989	 	126 - 115 
293. 	Mar 1, 1989	 	    142 - 121 
292. 	Feb 8, 1989	 	    118 - 121 		
291. 	Nov 8, 1988	 	 	114 - 102
290. 	Apr 24, 1988	 	136 - 100 
289. 	Mar 20, 1988	 	130 - 127 
288. 	Mar 4, 1988	 	    120 - 107 
287. 	Jan 12, 1988	 	117 - 113 
286. 	Dec 17, 1987	 	113 - 106 
285. 	Nov 14, 1987	 	118 - 110 
284. 	Mar 3, 1987	 	 	114 - 109 
283. 	Feb 27, 1987	 	121 - 109 
282. 	Jan 15, 1987	 	129 - 109 
281. 	Jan 10, 1987	 	109 - 124 		
280. 	Dec 7, 1986	 	    132 - 100 
279. 	Dec 4, 1986	 	 	106 - 116 		
278. 	Mar 30, 1986	 	124 - 117 
277. 	Mar 6, 1986	 	 	112 - 111 
276. 	Mar 3, 1986	 	    127 - 117 
275. 	Feb 11, 1986	 	113 - 137 		
274. 	Dec 29, 1985	 	122 - 130 		
273. 	Nov 2, 1985	 	 	120 - 116
272. 	Apr 11, 1985	 	137 - 130
271. 	Mar 6, 1985	 	    145 - 119
270. 	Jan 19, 1985 	 	139 - 109
269. 	Dec 12, 1984	 	131 - 107
268. 	Nov 8, 1984	 	 	106 - 122 		
267. 	Oct 30, 1984	 	144 - 110 
266. 	Apr 10, 1984	 	115 - 117 		
265. 	Apr 1, 1984	 	    121 - 110 
264. 	Dec 30, 1983	 	105 - 116 		
263. 	Dec 23, 1983	 	123 - 116 
262. 	Dec 22, 1983	 	102 - 109 		
261. 	Nov 29, 1983	  	111 - 105 
260. 	Apr 8, 1983	 	    118 - 107 
259. 	Mar 8, 1983	 	 	116 - 112 
258. 	Dec 29, 1982	 	120 - 110 
257. 	Dec 11, 1982	 	128 - 107 
256. 	Nov 28, 1982	 	142 - 127 
255. 	Oct 29, 1982	 	117 - 132 		
254. 	Apr 16, 1982	 	125 - 109 
253. 	Apr 13, 1982	 	101 - 106 		
252. 	Feb 19, 1982	 	126 - 106 
251. 	Feb 2, 1982	 	 	117 - 119 		
250. 	Dec 17, 1981	 	115 - 120 		
249. 	Dec 13, 1981	 	122 - 118 
248. 	Mar 24, 1981	 	110 - 103 
247. 	Mar 22, 1981	 	120 - 118 
246. 	Dec 14, 1980	 	122 - 113 
245. 	Dec 6, 1980	 	 	103 - 119 		
244. 	Nov 27, 1980	 	128 - 119 
243. 	Oct 19, 1980	 	125 - 107 
242. 	Mar 30, 1980	 	 95 - 93 
241. 	Mar 18, 1980	 	113 - 100 
240. 	Jan 16, 1980	 	 97 - 96 
239. 	Dec 21, 1979	 	114 - 108 
238. 	Nov 7, 1979	 	 	109 - 126 		
237. 	Oct 28, 1979	 	 97 - 90 
236. 	Feb 20, 1979	 	 91 - 102 		
235. 	Feb 7, 1979	 	 	106 - 104 
234. 	Jan 21, 1979	 	113 - 107 
233. 	Dec 27, 1978	 	106 - 104 
232. 	Feb 19, 1978	 	115 - 93 
231. 	Feb 10, 1978	 	135 - 107 
230. 	Dec 27, 1977	 	123 - 82 
229. 	Nov 13, 1977	 	 97 - 95 
228. 	Apr 5, 1977	 	 	103 - 132 		
227. 	Mar 18, 1977	 	 98 - 85 
226. 	Dec 4, 1976	 	 	114 - 116 		
225. 	Nov 19, 1976	 	121 - 99 
224. 	Apr 4, 1976	 	    118 - 111 
223. 	Mar 27, 1976	 	 97 - 113 		
222. 	Mar 5, 1976	 	    106 - 99 
221. 	Jan 22, 1976	 	105 - 129 		
220. 	Jan 3, 1976	 	 	 99 - 130 		
219. 	Jan 2, 1976	 	    105 - 113 		
218. 	Nov 8, 1975	 	 	106 - 114 		
217. 	Mar 25, 1975	 	122 - 139 		
216. 	Mar 16, 1975	 	111 - 95 
215. 	Feb 21, 1975	 	 93 - 105 		
214. 	Jan 21, 1975	 	108 - 138 		
213. 	Nov 30, 1974	 	118 - 128 		
212. 	Nov 10, 1974	 	103 - 106 		
211. 	Oct 18, 1974	 	105 - 90 
210. 	Mar 16, 1974	 	105 - 135 		
209. 	Mar 15, 1974	 	107 - 112 		
208. 	Mar 3, 1974	 	    108 - 104 
207. 	Jan 4, 1974	 	    114 - 111 
206. 	Dec 29, 1973	 	100 - 102 		
205. 	Dec 8, 1973	 	 	111 - 135 		
204. 	Mar 28, 1973	 	 96 - 89 
203. 	Feb 23, 1973	 	106 - 111 		
202. 	Jan 27, 1973	 	122 - 107 
201. 	Jan 26, 1973	 	100 - 84 
200. 	Jan 2, 1973	 	 	106 - 112 		
199. 	Dec 2, 1972	 	 	112 - 103 
198. 	Oct 27, 1972	 	 91 - 119 		
197. 	Mar 19, 1972	 	162 - 99 
196. 	Feb 5, 1972	 	 	108 - 96 
195. 	Dec 17, 1971	 	129 - 99 
194. 	Dec 9, 1971	 	 	124 - 111 
193. 	Nov 6, 1971	 	 	105 - 89 
192. 	Oct 31, 1971	 	105 - 109 
191. 	Feb 27, 1971	 	112 - 107
190. 	Feb 7, 1971	 	 	119 - 104
189. 	Jan 30, 1971	 	 85 - 87 		
188. 	Jan 22, 1971	 	130 - 110 
187. 	Dec 4, 1970	 	 	123 - 101 
186. 	Nov 28, 1970	     88 - 92 	
185. 	Mar 10, 1970	 	106 - 104 
184. 	Feb 11, 1970		125 - 115 
183. 	Jan 22, 1970 	 	122 - 108
182. 	Jan 2, 1970	 	 	125 - 95 
181. 	Dec 30, 1969	 	100 - 105 		
180. 	Nov 28, 1969		108 - 114 		
179. 	Nov 22, 1969	 	106 - 98 
178. 	Mar 12, 1969	 	 85 - 97 		
177. 	Mar 2, 1969	 	 	107 - 92 
176. 	Feb 2, 1969	 	 	117 - 122	
175. 	Feb 1, 1969	        106 - 101 	
174. 	Dec 20, 1968        133 - 101 
173. 	Nov 22, 1968         98 - 100 		
172. 	Nov 16, 1968         19 - 112 
171. 	Mar 13, 1968        142 - 106 
170. 	Mar 9, 1968	        137 - 132 	
169. 	Feb 16, 1968        116 - 118 		
168. 	Feb 9, 1968	 	    122 - 104 
167. 	Jan 20, 1968        151 - 122
166. 	Jan 2, 1968	        118 - 119 		
165. 	Nov 25, 1967        112 - 131 		
164. 	Nov 24, 1967        121 - 122 	 	
163. 	Mar 11, 1967        125 - 120 
162. 	Feb 21, 1967 	    133 - 136 		
161. 	Feb 3, 1967	        129 - 80 
160. 	Jan 11, 1967        141 - 126 
159. 	Jan 5, 1967	         91 - 122 		
158. 	Dec 20, 1966        107 - 130 		
157. 	Dec 9, 1966	        118 - 119 		
156. 	Nov 19, 1966        109 - 144 		
155. 	Nov 11, 1966         93 - 132 		
154. 	Mar 20, 1966        124 - 112 
153. 	Mar 19, 1966        119 - 125 		
152. 	Mar 5, 1966	        125 - 123 
151. 	Jan 21, 1966        109 - 120 		
150. 	Jan 14, 1966	    118 - 110
149. 	Dec 19, 1965	 	132 - 120 
148. 	Nov 20, 1965 	 	133 - 117 
147. 	Nov 19, 1965	 	135 - 124 
146. 	Oct 30, 1965	 	122 - 124 		
145. 	Oct 15, 1965	 	122 - 115 
144. 	Mar 20, 1965	 	 98 - 112 		
143. 	Mar 12, 1965	 	115 - 93 
142. 	Feb 13, 1965	 	129 - 105 
141. 	Feb 12, 1965	 	114 - 95 
140. 	Jan 31, 1965	 	 96 - 94 
139. 	Jan 30, 1965	 	109 - 99 
138. 	Dec 26, 1964	 	129 - 122 
137. 	Nov 28, 1964	 	106 - 109 		
136. 	Nov 7, 1964	 	 	130 - 103 
135. 	Oct 23, 1964	 	 94 - 92 
134. 	Mar 14, 1964	 	 95 - 111 		
133. 	Mar 13, 1964	 	112 - 109 
132. 	Mar 7, 1964	 	 	118 - 120 		
131. 	Feb 23, 1964	 	108 - 109 		
130. 	Jan 26, 1964	 	108 - 96 
129. 	Jan 25, 1964 	 	 95 - 120 		
128. 	Jan 24, 1964	 	118 - 100 
127. 	Jan 10, 1964	  	 89 - 114 		
126. 	Dec 8, 1963	 	 	112 - 114 		
125. 	Dec 6, 1963	 	 	110 - 101 
124. 	Nov 8, 1963	 	 	 93 - 90 
123. 	Nov 2, 1963	 	 	 99 - 118 		
122. 	Mar 16, 1963	 	111 - 105 	
121. 	Mar 12, 1963	 	110 - 116 		
120. 	Mar 2, 1963	 	 	113 - 122 		
119. 	Feb 19, 1963	 	109 - 111 		
118. 	Feb 16, 1963	 	118 - 122
117. 	Jan 12, 1963	 	119 - 114 
116. 	Jan 11, 1963 	 	134 - 129 
115. 	Dec 15, 1962	 	113 - 104 
114. 	Dec 14, 1962 	 	120 - 118 
113. 	Nov 23, 1962 	 	129 - 124 
112. 	Nov 7, 1962	 	 	132 - 108 
111. 	Nov 3, 1962	 	 	127 - 115 
110. 	Jan 3, 1962		 	124 - 123 
109. 	Jan 1, 1962		 	114 - 111 
108. 	Dec 29, 1961	 	118 - 123 		
107. 	Dec 8, 1961	 		151 - 147
106. 	Dec 2, 1961		 	129 - 119 
105. 	Dec 1, 1961		 	117 - 138 		
104. 	Nov 17, 1961	 	125 - 121 
103. 	Oct 20, 1961	 	115 - 122 		
102. 	Oct 19, 1961	 	118 - 113 
101. 	Feb 28, 1961	 	108 - 123 		
100. 	Feb 27, 1961		 88 - 113 		
99. 	Feb 26, 1961		121 - 116 
98. 	Jan 21, 1961	 	111 - 136 		
97. 	Dec 1, 1960	 		114 - 117 		
96. 	Nov 29, 1960	 	121 - 122 		
95. 	Nov 28, 1960		137 - 112 
94. 	Nov 27, 1960		106 - 113 		
93. 	Nov 9, 1960	 	    118 - 125 		
92. 	Oct 28, 1960	 	120 - 122 		
91. 	Feb 27, 1960 	 	109 - 91 
90. 	Feb 20, 1960 		106 - 122 		
89. 	Feb 1, 1960 	 	96  - 103 		
88. 	Jan 31, 1960 	 	104 - 114 		
87. 	Jan 5, 1960 	 	111 - 126 		
86. 	Dec 30, 1959 		107 - 122 		
85. 	Dec 3, 1959 		109 - 123 		
84. 	Nov 15, 1959 	 	106 - 100 
83. 	Nov 14, 1959 		98  - 104 		
82. 	Mar 1, 1959 	 	100 - 98 
81. 	Feb 7, 1959 	 	109 - 97 
80. 	Jan 25, 1959 		111 - 125 		
79. 	Jan 18, 1959 	 	119 - 98 
78. 	Jan 4, 1959 	 	111 - 95 
77. 	Dec 29, 1958 	 	93  - 95 		
76. 	Dec 20, 1958 	 	99  - 88 
75. 	Nov 15, 1958 	    101 - 106 		
74. 	Nov 6, 1958 	 	103 - 101 
73. 	Mar 2, 1958 	 	102 - 92 
72. 	Feb 24, 1958 	 	95  - 110 		
71. 	Feb 16, 1958 	 	106 - 99 
70. 	Feb 5, 1958 	 	102 - 112 		
69. 	Feb 4, 1958 	 	103 - 107 		
68. 	Dec 18, 1957 	 	108 - 102 
67. 	Nov 24, 1957 		98  - 105 		
66. 	Nov 8, 1957 	 	108 - 119 		
65. 	Nov 2, 1957 		108 - 118 		
64. 	Mar 13, 1957 	 	114 - 97 
63. 	Mar 12, 1957 	 	100 - 94 
62. 	Feb 28, 1957 		112 - 129 		
61. 	Feb 15, 1957 		104 - 105 		
60. 	Feb 6, 1957 	 	101 - 100 
59. 	Dec 11, 1956 		111 - 114 		
58. 	Dec 2, 1956 	 	106 - 96
57. 	Nov 27, 1956 	 	113 - 98 
56. 	Nov 16, 1956 		97  - 123 		
55. 	Mar 1, 1956 		102 - 100 
54. 	Feb 17, 1956 		111 - 134 		
53. 	Feb 11, 1956 	 	102 - 117 		
52. 	Jan 28, 1956 	 	85  - 108 		
51. 	Jan 18, 1956 	 	105 - 94 
50. 	Dec 6, 1955 	 	103 - 116 		
49. 	Nov 27, 1955 	 	99  - 94 
48. 	Nov 12, 1955 	 	89  - 100 		
47. 	Nov 9, 1955 		106 - 117 		
46. 	Mar 12, 1955 	 	86  - 78 
45. 	Mar 9, 1955 		89  - 102 		
44. 	Feb 13, 1955 	 	103 - 93 
43. 	Jan 16, 1955 	 	106 - 98 
42. 	Jan 13, 1955 		96  - 102 	 	
41. 	Jan 5, 1955 		85  - 106 		
40. 	Jan 3, 1955 	 	76  - 74 
39. 	Dec 25, 1954 	 	99  - 91 
38. 	Dec 1, 1954 		91  - 88 
37. 	Feb 25, 1954 		72  - 81 		
36.     Feb 22, 1954 	 	72  - 79 		
35.     Feb 13, 1954 	 	86  - 77
34.     Feb 9, 1954 	 	70  - 67
33.     Feb 8, 1954 	 	106 - 91
32.     Feb 6, 1954 	 	97  - 94 
31.     Nov 26, 1953 	 	88  - 80 
30.     Nov 19, 1953 		107 - 79 
29.     Mar 1, 1953 	 	102 - 80 
28.     Feb 27, 1953 	 	98  - 75 
27.     Feb 26, 1953 		85  - 73 
26.     Feb 14, 1953 	 	92  - 84
25.     Nov 30, 1952 	 	91  - 66 
24.     Nov 8, 1952 		93  - 71 
23.     Mar 4, 1952 		81  - 83 		
22.     Feb 25, 1952 	 	108 - 95 
21.     Jan 13, 1952 	 	81  - 88 		
20.     Dec 30, 1951 	 	93  - 64 
19.     Dec 21, 1951 		103 - 105	
18.     Nov 9, 1951 		86  - 98 		
17.     Mar 1, 1951 		77  - 97 		
16.     Jan 25, 1951 		90  - 71 
15.     Dec 31, 1950 	 	83  - 73 
14.     Dec 19, 1950 		67  - 71 		
13.     Dec 3, 1950 	 	95  - 83 
12.     Nov 12, 1950 	 	83  - 70 
11.     Mar 8, 1950 	 	68  - 65 
10.     Mar 3, 1950 		61  - 66 		
9.      Feb 5, 1950 	 	100 - 67 
8.      Jan 20, 1950 		89  - 90 		
7.      Dec 11, 1949 	 	90  - 81 
6.      Nov 2, 1949 		81  - 69 
5.      Mar 20, 1949 	 	91  - 78 
4.      Feb 3, 1949 		78  - 76 
3.      Jan 23, 1949 	 	89  - 71 
2.      Dec 21, 1948 		64  - 72 		
1.      Nov 28, 1948 	 	88  - 67 
