https://instametrica.com/report/selenagomez
06/10/18	138,351,943 
06/09/18	138,307,563 
06/08/18	138,244,215 
06/07/18	138,196,478 
06/06/18	138,175,953 
06/05/18	138,094,307 
06/04/18	138,094,132 
06/03/18	138,057,469 
06/02/18	138,022,539 
06/01/18	138,000,515 
05/31/18	137,996,001 
05/30/18	137,957,879 
05/29/18	137,916,142 
05/28/18	137,869,018 
05/27/18	137,831,689 
05/26/18	137,800,084 
05/25/18	137,754,329 
05/24/18	137,707,214 
05/23/18	137,669,806 
05/22/18	137,625,049 
05/21/18	137,582,118 
05/20/18	137,501,524 
05/19/18	137,449,026 
05/18/18	137,405,113 
05/17/18	137,358,497 
05/16/18	137,324,026 
05/15/18	137,280,960 
05/14/18	137,242,706 
05/13/18	137,204,027 
05/12/18	137,155,130 
05/11/18	137,143,029 
05/10/18	137,069,363 
05/09/18	137,013,054 
05/08/18	136,929,614 
05/07/18	136,885,273 
05/06/18	136,845,972 
05/05/18	136,806,571 
05/04/18	136,775,253 
05/03/18	136,734,156 
05/02/18	136,687,628 
05/01/18	136,650,828 
04/30/18	136,606,350 
04/29/18	136,557,847 
04/28/18	136,509,967 
04/27/18	136,464,172 
04/26/18	136,421,005 
04/25/18	136,374,979 
04/24/18	136,325,614 
04/23/18	136,303,697 
04/22/18	136,277,301 
04/21/18	136,233,730 
04/20/18	136,201,626 
04/19/18	136,176,785 
04/18/18	136,130,258 
04/17/18	136,102,185 
04/16/18	136,071,048 
04/15/18	136,024,901 
04/14/18	135,978,006 
04/13/18	135,945,992 
04/11/18	135,851,128 
04/10/18	135,801,800 
04/09/18	135,755,018 
04/08/18	135,681,899 
04/07/18	135,640,213 
04/06/18	135,569,154 
04/05/18	135,520,543 
04/04/18	135,492,058 
04/03/18	135,469,589 
04/02/18	135,415,074 
04/01/18	135,360,486 
03/31/18	135,297,884 
03/30/18	135,273,983 - (
03/29/18	135,294,603 
03/28/18	135,249,857 
03/27/18	135,209,794 
03/26/18	135,173,284 
03/25/18	135,127,927 
03/24/18	135,122,595 
03/23/18	135,091,016 
03/22/18	135,041,498 
03/21/18	134,990,040 
03/20/18	134,945,191 
03/19/18	134,907,067 
03/18/18	134,875,209 
03/17/18	134,826,834 
03/16/18	134,797,181 
03/15/18	134,762,861 
03/13/18	134,694,582 
03/12/18	134,662,986 
03/11/18	134,617,864 
03/10/18	134,586,240 
03/09/18	134,542,225 
03/08/18	134,504,154 
03/07/18	134,438,917 
03/06/18	134,405,144 
03/05/18	134,359,683 
03/04/18	134,303,167 
03/03/18	134,246,715 
03/02/18	134,178,174 
03/01/18	134,120,169 
02/28/18	134,085,238 
02/27/18	134,058,813 
02/26/18	134,030,100 
02/25/18	134,000,733 
02/24/18	133,958,625 
02/23/18	133,919,747 
02/22/18	133,884,191 
02/21/18	133,837,119 
02/20/18	133,806,817 
02/19/18	133,778,359 
02/18/18	133,738,660 
02/17/18	133,704,570 
02/16/18	133,675,058 
02/15/18	133,646,607 
02/14/18	133,615,475 
02/13/18	133,593,293 
02/12/18	133,553,542 
02/11/18	133,514,622 
02/10/18	133,468,545 
02/09/18	133,430,747 
02/08/18	133,384,495 
02/07/18	133,375,944 
02/06/18	133,347,252 
02/05/18	133,312,226 
02/04/18	133,276,178 
02/03/18	133,243,438 
02/02/18	133,213,220 
02/01/18	133,186,185 
01/31/18	133,158,537 
01/30/18	133,122,578 
01/29/18	133,092,249 
01/28/18	133,061,461 
01/27/18	133,032,712 
01/26/18	133,008,105 
01/25/18	132,982,334 
01/24/18	132,960,233 
01/23/18	132,932,119 
01/22/18	132,900,170 
01/21/18	132,857,450 
01/20/18	132,814,990 
01/19/18	132,778,473 
01/18/18	132,748,921 
01/17/18	132,704,611 
01/16/18	132,671,540 
01/15/18	132,647,214 
01/14/18	132,619,031 
01/13/18	132,584,206 
01/12/18	132,549,944 
01/11/18	132,521,816 
01/10/18	132,503,300 
01/09/18	132,466,946 
01/08/18	132,429,861 
01/07/18	132,388,136 
01/06/18	132,333,055 
01/05/18	132,286,263 
01/04/18	132,240,338 
01/03/18	132,209,809 
01/02/18	132,185,376 
01/01/18	132,160,323
