1,101
2,111
3,127
4,106
5,106
6,114
7,123
8,94
9,85
10,106
11,117
12,112
13,98
14,88
15,77
16,105
17,115
18,115
19,104
20,95
21,83
22,102
23,94
24,118
25,103
26,118
27,101
28,99
29,120
30,104
31,97
32,87
33,115
34,117
35,107
36,124
37,104
38,124
39,130
40,114
41,129
42,114
43,130
44,123
45,111
46,106
47,123
48,115
49,102
50,108
51,110
52,111
53,106
54,106
55,110
56,99
57,105
58,104
59,97
60,109
61,100
62,98
63,87
64,117
65,102
66,96
67,110
68,90
69,101
70,106
71,97
72,110
73,122
74,111
75,111
76,119
77,109
78,93
79,106
80,76
81,89
82,96
83,105
84,92
85,132
86,109
87,109
88,114
89,112
90,94
91,106
92,128
93,105
94,108
95,115
96,105
97,113
98,99
99,91
100,117
101,117
102,97
103,76
104,115
105,116
106,117
107,105
108,107
109,124
110,100
111,112
112,99
113,115
114,111
115,135
116,99
117,111
118,115
119,131
120,131
121,131
122,130
123,106
124,116
125,126
126,142
127,118
128,114
129,136
130,130
131,120
132,117
133,113
134,118
135,114
136,121
137,129
138,109
139,132
140,106
141,124
142,112
143,127
144,113
145,122
146,120
147,137
148,145
149,139
150,131
151,106
152,144
153,115
154,121
155,105
156,123
157,102
158,111
159,118
160,116
161,120
162,128
163,142
164,117
165,125
166,101
167,126
168,117
169,115
170,122
171,110
172,120
173,122
174,103
175,128
176,125
177,95
178,113
179,97
180,114
181,109
182,97
183,91
184,106
185,113
186,106
187,115
188,135
189,123
190,97
191,103
192,98
193,114
194,121
195,118
196,97
197,106
198,105
199,99
200,105
201,106
202,122
203,111
204,93
205,108
206,118
207,103
208,105
209,105
210,107
211,108
212,114
213,100
214,111
215,96
216,106
217,122
218,100
219,106
220,112
221,91
222,162
223,108
224,129
225,124
226,105
227,105
228,112
229,119
230,85
231,130
232,123
233,88
234,106
235,125
236,122
237,125
238,100
239,108
240,106
241,85
242,107
243,117
244,106
245,133
246,98
247,19
248,142
249,137
250,116
251,122
252,151
253,118
254,112
255,121
256,125
257,133
258,129
259,141
260,91
261,107
262,118
263,109
264,93
265,124
266,119
267,125
268,109
269,118
270,132
271,133
272,135
273,122
274,122
275,98
276,115
277,129
278,114
279,96
280,109
281,129
282,106
283,130
284,94
285,95
286,112
287,118
288,108
289,108
290,95
291,118
292,89
293,112
294,110
295,93
296,99
297,111
298,110
299,113
300,109
301,118
302,119
303,134
304,113
305,120
306,129
307,132
308,127
309,124
310,114
311,118
312,151
313,129
314,117
315,125
316,115
317,118
318,108
319,88
320,121
321,111
322,114
323,121
324,137
325,106
326,118
327,120
328,109
329,106
330,96
331,104
332,111
333,107
334,109
335,106
336,98
337,100
338,109
339,111
340,119
341,111
342,93
343,99
344,101
345,103
346,102
347,95
348,106
349,102
350,103
351,108
352,98
353,108
354,108
355,114
356,100
357,112
358,104
359,101
360,111
361,106
362,113
363,97
364,102
365,111
366,102
367,85
368,105
369,103
370,99
371,89
372,106
373,86
374,89
375,103
376,106
377,96
378,85
379,76
380,99
381,91
382,72
383,72
384,86
385,70
386,106
387,97
388,88
389,107
390,102
391,98
392,85
393,92
394,91
395,93
396,81
397,108
398,81
399,93
400,103
401,86
402,77
403,90
404,83
405,67
406,95
407,83
408,68
409,61
410,100
411,89
412,90
413,81
414,91
415,78
416,89
417,64
418,88
419,12
