
Mar 30, 1986	 	124 - 117 
Mar 6, 1986	 	 	112 - 111 
Mar 3, 1986	 	    127 - 117 
Feb 11, 1986	 	113 - 137 		
Dec 29, 1985	 	122 - 130 		
Nov 2, 1985	 	 	120 - 116
Apr 11, 1985	 	137 - 130
Mar 6, 1985	 	    145 - 119
Jan 19, 1985 	 	139 - 109
Dec 12, 1984	 	131 - 107
Nov 8, 1984	 	 	106 - 122 		
Oct 30, 1984	 	144 - 110 
Apr 10, 1984	 	115 - 117 		
Apr 1, 1984	 	    121 - 110 
Dec 30, 1983	 	105 - 116 		
Dec 23, 1983	 	123 - 116 
Dec 22, 1983	 	102 - 109 		
Nov 29, 1983	  	111 - 105 
Apr 8, 1983	 	    118 - 107 
Mar 8, 1983	 	 	116 - 112 
Dec 29, 1982	 	120 - 110 
Dec 11, 1982	 	128 - 107 
Nov 28, 1982	 	142 - 127 
Oct 29, 1982	 	117 - 132 		
Apr 16, 1982	 	125 - 109 
Apr 13, 1982	 	101 - 106 		
Feb 19, 1982	 	126 - 106 
Feb 2, 1982	 	 	117 - 119 		
Dec 17, 1981	 	115 - 120 		
Dec 13, 1981	 	122 - 118 
Mar 24, 1981	 	110 - 103 
Mar 22, 1981	 	120 - 118 
Dec 14, 1980	 	122 - 113 
Dec 6, 1980	 	 	103 - 119 		
Nov 27, 1980	 	128 - 119 
Oct 19, 1980	 	125 - 107 
Mar 30, 1980	 	 95 - 93 
Mar 18, 1980	 	113 - 100 
Jan 16, 1980	 	 97 - 96 
Dec 21, 1979	 	114 - 108 
Nov 7, 1979	 	 	109 - 126 		
Oct 28, 1979	 	 97 - 90 
Feb 20, 1979	 	 91 - 102 		
Feb 7, 1979	 	 	106 - 104 
Jan 21, 1979	 	113 - 107 
Dec 27, 1978	 	106 - 104 
Feb 19, 1978	 	115 - 93 
Feb 10, 1978	 	135 - 107 
Dec 27, 1977	 	123 - 82 
Nov 13, 1977	 	 97 - 95 
Apr 5, 1977	 	 	103 - 132 		
Mar 18, 1977	 	 98 - 85 
Dec 4, 1976	 	 	114 - 116 		
Nov 19, 1976	 	121 - 99 
Apr 4, 1976	 	    118 - 111 
Mar 27, 1976	 	 97 - 113 		
Mar 5, 1976	 	    106 - 99 
Jan 22, 1976	 	105 - 129 		
Jan 3, 1976	 	 	 99 - 130 		
Jan 2, 1976	 	    105 - 113 		
Nov 8, 1975	 	 	106 - 114 		
Mar 25, 1975	 	122 - 139 		
Mar 16, 1975	 	111 - 95 
Feb 21, 1975	 	 93 - 105 		
Jan 21, 1975	 	108 - 138 		
Nov 30, 1974	 	118 - 128 		
Nov 10, 1974	 	103 - 106 		
Oct 18, 1974	 	105 - 90 
Mar 16, 1974	 	105 - 135 		
Mar 15, 1974	 	107 - 112 		
Mar 3, 1974	 	    108 - 104 
Jan 4, 1974	 	    114 - 111 
Dec 29, 1973	 	100 - 102 		
Dec 8, 1973	 	 	111 - 135 		
Mar 28, 1973	 	 96 - 89 
Feb 23, 1973	 	106 - 111 		
Jan 27, 1973	 	122 - 107 
Jan 26, 1973	 	100 - 84 
Jan 2, 1973	 	 	106 - 112 		
Dec 2, 1972	 	 	112 - 103 
Oct 27, 1972	 	 91 - 119 		
Mar 19, 1972	 	162 - 99 
Feb 5, 1972	 	 	108 - 96 
Dec 17, 1971	 	129 - 99 
Dec 9, 1971	 	 	124 - 111 
Nov 6, 1971	 	 	105 - 89 
Oct 31, 1971	 	105 - 109 
Feb 27, 1971	 	112 - 107
Feb 7, 1971	 	 	119 - 104
Jan 30, 1971	 	 85 - 87 		
Jan 22, 1971	 	130 - 110 
Dec 4, 1970	 	 	123 - 101 
Nov 28, 1970	     88 - 92 	
Mar 10, 1970	 	106 - 104 
